,Title,Description,Link
21,The Mandalorian Chapter 16 — The Rescue,"This is it, folks: the last episode (for now) of The Mandalorian, and as a result, the last spoiler special discussing The Mandalorian. In this extended episode, Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis discuss the many major revelations, twists, and cameos of Chapter 16, take a bunch of listener questions, and ask where the show can go now that [REDACTED]. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mando_chapter_16_spoiler_special_5ddbfebe_normal.mp3
22,The Mandalorian Chapter 15 -- The Believer,"The penultimate chapter of the second season of The Mandalorian is a thrill-packed death-defying ride that tips its helmet to one of the greatest movies of all time, The Wages Of Fear. In this episode, Chris Hewitt, Helen O'Hara, James Dyer and Ben Travis discuss that, the way in which the episode challenges Mando's core beliefs and pushes him to do something truly startling, the absence of a key character, and much, much more. Is there also singing and a plethora of helmet gags? Well, this is the way. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_15_spoiler_s_7db3ba7a_normal.mp3
23,The Mandalorian Chapter 14 -- The Tragedy,"With a title like that, Team Empire wades gingerly into this week's episode of The Mandalorian, discussing the return of [REDACTED], the fate of [EVEN MORE REDACTED], and Pedro Pascal's [TRIPLE REDACTED]. Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_14_spoiler_s_e54b0308_normal.mp3
24,The Mandalorian Chapter 13 — The Jedi,"This week's episode of The Mandalorian was perhaps the most eventful yet, with huge revelations about our beloved Baby Yoda, the first live-action appearance of animated series stalwart Ahsoka Tano (played here by Rosario Dawson), and a grizzled cameo by Kyle Reese and Dwayne Hicks himself, Michael Biehn. Plenty for our podteam — Chris Hewitt, Helen O'Hara, Ben Travis, and James Dyer — to get their teeth into, then. So, naturally, in an episode that's even more chaotic than usual, why on Corvus are they talking about Sunset Beach, Neighbours, and Han and Leia's sexual proclivities? 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_13_spoiler_s_ed8c54e3_normal.mp3
26,The Mandalorian Chapter 12 -- The Siege ft. Carl Weathers,"This week's deep dive into the spoilery seas of The Mandalorian sees a very special guest tag along for the ride — the legendary Carl Weathers, who not only returns to the show for this episode as Greef Karga, but also slides into the director's chair, and oversees more action than you could shake a speeder bike at. In our extended chat, he talks to Chris Hewitt about his approach as a director, working with Baby Yoda, handling the action scenes, and more. 

Then, on the other side of Carl, Team Empire — Chris, Helen O'Hara, James Dyer, and Ben Travis — convene for another in-depth discussion of the show, featuring so much talk of baked goods that you might be forgiven for thinking you've come to the wrong show, and another landmark moment in the slow but steady, Anakin-esque corruption of the previously pure Ben Travis. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_12_spoiler_s_5953777c_normal.mp3
27,The Mandalorian Chapter 11 -- The Heiress,"This week's squidtastic breakdown of the latest episode of The Mandalorian finds Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis wrapping their tentacles around the wettest live-action iteration of Star Wars to date. Join them as they discuss all the ins and outs of this Bryce Dallas Howard-directed episode, featuring huge revelations for Mando, a moment of peril for Baby Yoda, and a merman in a sweater. 

Oh, and don't query them on their knowledge of Star Wars: Rebels and Star Wars: The Clone Wars. If there's one thing that this episode makes clear, it's that the gang watch those shows religiously and know them inside out. Ahem. 

Enjoy. This is the way.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_11_spoiler_s_3738ce81_normal.mp3
28,The Mandalorian Chapter 10: The Passenger,"Mando and Baby Yoda (note: may not be their official character names) are back for another instalment of the live-action Star Wars TV show, and so are Team Empire. In this week's episode, Chris Hewitt, Helen O'Hara, James Dyer, and Baby Yoda apologist Ben Travis assemble to discuss the Timothy Olyphant-free zone that is The Passenger. It's got it all: terrible impressions, big theories about the show's direction, and one of the team shares a terrifying tale of a very close encounter with a spider. Arachnophobes, you have been warned. 

Enjoy. We have spoken.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_10_spoiler_s_d3a8a1ca_normal.mp3
29,The Mandalorian Chapter 9: The Marshal,"The Mandalorian is back, Baby Yoda in tow, for a second season of the Disney+ show that is breathing new life into Star Wars. And so, naturally, we've reassembled the old podcast crew -- Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis, who's this close to triggering a court order from Baby Yoda -- to have a natter about the first episode of the second season. 

It's called The Marshal, it's the longest episode to date, and it's filled with all kinds of Star Warsy goodness. And in this, the first of our weekly spoiler specials, the team discuss the episode, its numerous in-jokes, Easter eggs and references, how it might fit into the overarching story of the show and, of course, the Star Wars debut of Timothy Olyphant, making a strong play for the coveted Handsomest Man In The Galaxy award. If you want plenty of Star Wars discussion and much thirsting over Cobb Vanth, you've come to the right place. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_9_spoiler_sp_fa229da6_normal.mp3
47,The Mandalorian Chapter 8 — Redemption,"We had to wait quite a while for the first season of The Mandalorian but now, in what feels like the blink of an eye, it is over. The season culminated in Redemption, a Taika Waititi-directed episode which blended comedy biker scouts, major revelations about Mando, Baby Yoda grinning dementedly, and a couple of major set pieces, and in our final Mando spoiler special for a while, Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis get together to chew the fat, answer some listener questions, and look ahead to season 2. 

We have spoken. This is the way. Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mando_chapter_8_mixdown_57f835fe_normal.mp3
50,The Mandalorian Chapter 7: The Reckoning,"This episode of The Mandalorian (the penultimate chapter of season one, sadly) has it all: double-crosses, triple-crosses, old favourites, new faces, flying dragon things, and more Baby Yoda cuteness than you could shake a laser sword at. And, as usual, Chris Hewitt, Helen O'Hara, Ben Travis, and James Dyer have convened (remotely and responsibly, of course) to talk about it at great length. All we hear is death and chaos. And terrible Werner Herzog impressions. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/mandalorian_chapter_7_spoiler_sp_867d2a97_normal.mp3
