Title,Description,Link
The Falcon And The Winter Soldier Episode 5: Truth,"The fifth (and penultimate) episode of The Falcon And The Winter Soldier saw things move up a gear or ten as Sam and Bucky finally got some quality bonding time in, the show got serious about some real issues, and an unexpected cameo got tongues wagging. In our latest spoiler special podcast dedicated to the Disney+ MCU show, Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis talk about all this and more, answer a bunch of listener questions (as best as they can), and the Empire Podcast Marvel Studios Fanfare Orchestra turns it up to eleven. You have been warned. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_episode_5_mixdown_562370b1_normal.mp3
The Falcon And The Winter Soldier Bonus Episode: Listener Qs,"Because our last Falcon And The Winter Soldier spoiler special was a little shorter than usual (it was barely an hour long; what a disgrace), we barely scratched the surface of the listener questions you lovely lot sent in. So, in this bonus episode, Chris Hewitt, Helen O'Hara, and Ben Travis jettison the kazoos and the singing and the daftness to open the mailbag and dive right in, answering (as best as they can) your questions about episode 4 of FAWS, and the show in general. Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_episode_4_part_2_mixdown_659b39aa_normal.mp3
Ammonite ft. Francis Lee,"Ammonite, Francis Lee's follow-up to his breathtaking debut, God's Own Country, sees Kate Winslet star as Mary Anning, a fossil hunter in 1840s England, who becomes romantically involved with a younger woman (Saoirse Ronan). Developing themes Lee explored in God's Own Country, it's a fragile and beautiful film, and in our spoiler special podcast Terri White sits down for an in-depth Squadcast chat with Lee about those themes, the film's ending, and much more. 

Then, Terri joins Chris Hewitt and Helen O'Hara for a deep dive into the film, which answers the question on everyone's lips: did Mary Anning have a dog? Find out within. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/ammonite_spoiler_special_mixdown_512fe809_normal.mp3
The Falcon And The Winter Soldier Episode 4: The Whole World Is Watching,"This week's episode of The Falcon And The Winter Soldier saw things jump up a notch, as one character made a fateful decision, and one character... well, you know. And Team Empire is on hand to dig into the show once again, as Chris Hewitt, Helen O'Hara, Ben Travis (eventually), and the returning James Dyer talk about twists, turns and much more besides. And a certain orchestra returns, in mournful mood. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_episode_four_mixdown_1761d28e_normal.mp3
The Falcon And The Winter Soldier Episode 3: Power Broker,"Nothing can stop the Empire Podcast's weekly MCU spoiler specials. Not Good Friday, not Easter Monday, nothing. Well, maybe a nice trip to Madripoor might make us miss a day. What a lovely place. The arrival of one of the most famous locations in Marvel comics is the subject of much discussion in this week's episode, in which Chris Hewitt, Helen O'Hara, and Ben Travis are joined by Amon Warmann to drill deep into the latest episode of The Amazing Adventures Of Sam And Bucky. What did they think of this week's twists and turns? What does 'fashion-forward' mean? And are there members of the podteam who are still waiting for the show to soar? Find out by checking out the episode, complete with the funkiest appearance of a certain orchestra to date. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_episode_3_mixdown_3e9f9dfa_normal.mp3
Jac Schaeffer On WandaVision,"WandaVision may have come to an end, but the MCU's first Disney+ show is still on the tip of Empire's tongue. And so, in this very special episode, Chris Hewitt sits down (across Zoom) for a chat with the show's head writer, creator, and showrunner, Jac Schaeffer, who talks about everything from the multiple fan theories that sprang up as the show was airing, to a certain theme song, and the deeply emotional ending. Candid and funny, it's a simply capital way to spend half an hour of your time. Flourish!",https://bauernordic-pods.sharp-stream.com/gb/1206/jac_schaeffer_wandavision_interv_67d3f87f_normal.mp3
L'arrivée d'un train en gare de La Ciotat spoiler special,"The Lumiere Brothers, Auguste and Louis, are two of the most influential filmmakers of all time. And their legendary 50-second silent short, L'arrivee d'un train en gare de la Ciotat, is often regarded as one of cinema's key building blocks. Here, in this exclusive Empire Podcast spoiler special, Chris Hewitt, Helen O'Hara and Ben Travis talk about its impact, its legacy, and its virtues, while Chris is joined by two very, very special guests. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/arrival_of_a_train_spoiler_speci_2a03c161_normal.mp3
The Falcon And The Winter Soldier Episode 2: The Star-Spangled Man,"After last week's bait-and-switch, the second episode of the latest Disney+ MCU show finally brings its title characters together for an episode full of derring-do and some derring-don't, as Sam and Bucky travel to Europe, get their flags (and other things) smashed, meet an old Super Soldier, and come face to punchable-face with the new Captain America. And once again, our intrepid pod-team of Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis are on hand to talk you through all the twists and turns. Plus: The Empire Podcast Marvel Fanfare Orchestra bites off more than it can chew. Again. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_spoiler_special_episode_2_m_4b0860da_normal.mp3
The Falcon And The Winter Soldier — Episode 1,"We're back! After one week off, allowing us to decompress after the end of WandaVision, the MCU's assault on the small screen continues with the launch of The Falcon And The Winter Soldier, exploring the post-Blip lives of Sam Wilson and Bucky Barnes. And, naturally, we're there as well, to talk about it. And talk about it. And talk about it some more. 

In this episode, the MCU spoiler podteam — Chris Hewitt, Helen O'Hara, James Dyer, and Ben Travis — reconvene to talk about bank loans and bad guys, and much, much more. Also, find out if the Empire Podcast Marvel Studios Fanfare Orchestra have returned, or if they're still sunning themselves on a virtual beach. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/faws_spoiler_special_week_one_mi_014aeb77_normal.mp3
Coming 2 America ft. Craig Brewer,"There have been a number of legacy comedy sequels over the last few years, with the likes of Anchorman 2, Zoolander 2 and Jay & Silent Bob Reboot all achieving varying degrees of success and critical regard. Now, 33 years after the beloved Coming To America, Eddie Murphy is back with Coming 2 America, and in this spoiler special Chris Hewitt has a chat with the film's director, Craig Brewer, about death scenes and getting the balance right between old hits and new material. They also talk about a potential new project which might just bring two classic Eddie Murphy movies together in an unexpected way. 

Then, Chris is joined by Coming To America superfans Amon Warmann and Helen O'Hara for an in-depth discussion of the film, its hits and its misses. Be warned: there's quite a bit of singing in this episode. 

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/coming_2_america_spoiler_special_1db1c859_normal.mp3
I Care A Lot ft. J Blakeson,"We care a lot about I Care A Lot, J Blakeson's super-sharp blackly comedic thriller in which Rosamund Pike's unscrupulous care provider exploits the heck out of the American healthcare system, only to come up against someone even more unscrupulous than her (Peter Dinklage). So much so that we've given it the spoiler special treatment. Pride of place goes to a near one-hour long interview with Blakeson, who tells Chris Hewitt all about the film's numerous twists, turns, and his storytelling motivations. 

Then, Chris is joined in the virtual podbooth by Helen O'Hara and Terri White for a fun-filled chat about the movie. Oh, and in the time-honoured tradition, we also manage to turn this into an impromptu spoiler special for the likes of Double Indemnity and Ace In The Hole, so be warned!

Enjoy.",https://bauernordic-pods.sharp-stream.com/gb/1206/i_care_a_lot_spoiler_special_mix_641a5b3f_normal.mp3
